Date,Sales
2020-01-05,952
2020-01-12,626
2020-01-19,664
2020-01-26,495
2020-02-02,951
2020-02-09,864
2020-02-16,725
2020-02-23,711
2020-03-01,969
2020-03-08,244
2020-03-15,246
2020-03-22,715
2020-03-29,763
2020-04-05,641
2020-04-12,314
2020-04-19,707
2020-04-26,808
2020-05-03,441
2020-05-10,355
2020-05-17,559
2020-05-24,435
2020-05-31,741
2020-06-07,161
2020-06-14,748
2020-06-21,569
2020-06-28,776
2020-07-05,164
2020-07-12,766
2020-07-19,820
2020-07-26,601
2020-08-02,870
2020-08-09,334
2020-08-16,648
2020-08-23,844
2020-08-30,868
2020-09-06,469
2020-09-13,491
2020-09-20,844
2020-09-27,265
2020-10-04,298
2020-10-11,865
2020-10-18,878
2020-10-25,998
2020-11-01,935
2020-11-08,490
2020-11-15,878
2020-11-22,575
2020-11-29,661
2020-12-06,757
2020-12-13,356
2020-12-20,831
2020-12-27,189
2021-01-03,155
2021-01-10,444
2021-01-17,992
2021-01-24,430
2021-01-31,959
2021-02-07,490
2021-02-14,296
2021-02-21,568
2021-02-28,812
2021-03-07,718
2021-03-14,130
2021-03-21,132
2021-03-28,964
2021-04-04,285
2021-04-11,195
2021-04-18,562
2021-04-25,514
2021-05-02,546
2021-05-09,711
2021-05-16,233
2021-05-23,999
2021-05-30,605
2021-06-06,886
2021-06-13,311
2021-06-20,951
2021-06-27,920
2021-07-04,702
2021-07-11,226
2021-07-18,863
2021-07-25,479
2021-08-01,178
2021-08-08,866
2021-08-15,961
2021-08-22,726
2021-08-29,116
2021-09-05,828
2021-09-12,530
2021-09-19,189
2021-09-26,555
2021-10-03,936
2021-10-10,928
2021-10-17,506
2021-10-24,575
2021-10-31,407
2021-11-07,761
2021-11-14,281
2021-11-21,482
2021-11-28,602
2021-12-05,142
2021-12-12,812
2021-12-19,577
2021-12-26,186
2022-01-02,219
2022-01-09,518
2022-01-16,238
2022-01-23,454
2022-01-30,848
2022-02-06,330
2022-02-13,299
2022-02-20,784
2022-02-27,256
2022-03-06,827
2022-03-13,176
2022-03-20,520
2022-03-27,775
2022-04-03,909
2022-04-10,331
2022-04-17,311
2022-04-24,274
2022-05-01,711
2022-05-08,265
2022-05-15,746
2022-05-22,109
2022-05-29,463
2022-06-05,492
2022-06-12,468
2022-06-19,871
2022-06-26,759
2022-07-03,147
2022-07-10,800
2022-07-17,695
2022-07-24,425
2022-07-31,394
2022-08-07,249
2022-08-14,881
2022-08-21,508
2022-08-28,267
2022-09-04,982
2022-09-11,709
2022-09-18,129
2022-09-25,331
2022-10-02,265
2022-10-09,791
2022-10-16,679
2022-10-23,318
2022-10-30,910
2022-11-06,565
2022-11-13,306
2022-11-20,657
2022-11-27,464
2022-12-04,592
2022-12-11,271
2022-12-18,695
2022-12-25,848
